场景,抢位,均值,方差,标准差,中位数,最大值,最小值,手气最佳频率
10人,1,10.0252,33.1806,5.7603,10.01,20.0,0.01,0.10184
10人,2,10.005,33.6787,5.8033,9.98,22.13,0.01,0.09364
10人,3,10.0345,34.3846,5.8638,9.94,24.65,0.01,0.09116
10人,4,10.0141,35.62,5.9682,9.84,27.02,0.01,0.09192
10人,5,9.9784,36.694,6.0576,9.76,31.2,0.01,0.08648
10人,6,10.0332,38.5345,6.2076,9.7,33.51,0.01,0.0921
10人,7,9.9329,41.1786,6.4171,9.34,40.62,0.01,0.09484
10人,8,9.9912,46.9119,6.8492,9.04,48.86,0.01,0.10666
10人,9,10.0057,59.1386,7.6902,8.35,62.78,0.01,0.12152
10人,10,9.9797,59.0474,7.6842,8.35,64.72,0.0,0.12102
3人,1,33.2955,368.9948,19.2092,33.34,66.66,0.01,0.36074
3人,2,33.3669,493.8471,22.2227,30.5,99.68,0.01,0.3219
3人,3,33.3376,490.4511,22.1461,30.38,99.8,0.0,0.31746
5人,1,20.1332,134.3874,11.5926,20.15,40.0,0.01,0.22452
5人,2,19.9638,143.4934,11.9789,19.55,49.8,0.01,0.20196
5人,3,19.9578,164.279,12.8171,18.76,64.76,0.01,0.19268
5人,4,20.0265,210.9959,14.5257,17.37,90.87,0.01,0.19192
5人,5,19.9187,210.1144,14.4953,17.22,93.87,0.0,0.18922
8人,1,12.4384,52.1374,7.2206,12.36,25.0,0.01,0.13002
8人,2,12.5359,53.6773,7.3265,12.49,28.5,0.01,0.12248
8人,3,12.5133,55.2791,7.435,12.31,32.66,0.01,0.11582
8人,4,12.5103,57.9172,7.6103,12.11,38.61,0.01,0.11496
8人,5,12.5128,62.1674,7.8846,11.93,47.14,0.01,0.11758
8人,6,12.485,70.7082,8.4088,11.405,53.0,0.01,0.12462
8人,7,12.4934,88.7261,9.4195,10.52,66.45,0.01,0.1386
8人,8,12.5108,90.0143,9.4876,10.6,76.6,-0.0,0.13668
